s,n
300055,6.83
300056,7.6
300057,6.1
300058,6.57
300059,28.36
300061,5.85
300062,14
300063,6.11
300064,4.09
300065,14.68
300066,5.42
300067,5.17
300068,14.88
300069,16.24
300070,8.66
300071,3
300072,6.44
300073,46.1
300074,4.89
300075,12.45
300076,7.08
300077,9.23
300078,9.88
300079,5.01
300080,5.28
300081,9.21
300082,9.15
300083,9.13
300084,4.94
300085,22.12
300086,6.53
300087,20.59
300088,10.16
300089,5.41
300091,4.45
300092,10.59
300093,10.87
300094,5.65
300095,11.98
300096,9.07
300097,12.59
300098,5.23
300099,7.68
300100,14.19
300101,15.84
300102,7.47
300103,12.62
300105,4.86
300106,12.74
300107,7.12
300108,4.4
300109,15.62
300110,5.18
300111,3.41
300112,10.13
300113,17.74
300114,15.06
300115,26.29
300116,2.83
300117,3.81
300118,18.15
300119,22
300120,11.47
300121,13.04
300122,139.31
300123,14.16
300124,85.47
300125,14.38
300126,9.36
300127,18.71
300128,4.2
300129,7.09
300130,13.04
300131,10.04
300132,21.4
300133,7.08
300134,12.13
300135,3.09
300136,45.81
300137,7.2
300138,17.9
300139,12.24
300140,8.81
300141,12.16
300142,45.66
300143,22.08
300144,18.67
300145,3.42
300146,25.86
300147,10
300148,4.05
300149,17.46
300150,5.21
300151,26.26
300152,3.38
300153,7.79
300154,6.66
300155,8.52
300157,4.43
300158,5.67
300159,3.92
300160,8.66
300161,19.93
300162,8.74
300163,4.22
300164,4.76
300165,5.96
300166,12.66
300167,6.24
300168,23.2
300169,6.62
300170,9.35
300171,17.94
300172,6.44
300173,7.23
300174,18.49
300175,5.82
300176,8.95
300177,11.16
300178,4.25
300179,7.53
300180,6.76
300181,6.73
300182,5.16
300183,19.89
300184,6.09
300185,3.99
300187,7.27
300188,23.23
300189,5.6
300190,8.67
300191,19.88
300192,17.31
300193,7.99
300194,6.4
300195,7.01
300196,15.02
300197,3.33
300198,5.3
300199,7.51
300200,12.13
300201,3.6
300202,10.82
300203,12.93
300204,10.34
300205,12.02
300206,17.61
300207,27.32
300208,10.9
300209,11.86
300210,4.93
300211,7.71
300212,29.5
300213,8.46
300214,9
300215,8.57
300217,3.88
300218,12.58
300219,11.73
300220,27.87
300221,8.59
300222,11.66
300223,95.66
300224,11.31
300225,15.47
300226,64.64
300227,12.14
300228,6.65
300229,10.3
300230,5.85
300231,9.91
300232,10.62
300233,23.65
300234,7.23
300235,14.59
300236,53.86
300237,3.26
300238,26.06
300239,6.1
300240,6.35
300241,8.16
300242,5.72
300243,14.92
300244,35.43
300245,10.6
300246,29.11
300247,3.15
300248,10.55
300249,7.2
300250,13.01
300251,13.58
300252,10.89
300253,17.46
300254,7.85
300255,6.56
300256,7.12
300257,14.65
300258,16
300259,5.38
300260,20.15
300261,6.89
300262,4.2
300263,8
300264,4.99
300265,11.87
300266,3.71
300267,4.81
300268,14.02
300269,5.15
300270,7.11
300271,26.58
300272,5.65
300273,6.32
300274,47
300275,11.33
300276,5.14
300277,11.2
300278,5.53
300279,6.39
300280,55.7
300281,7.35
300282,5.47
300283,6.5
300284,7.2
300285,39
300286,18.61
300287,4.74
300288,12.75
300289,6.98
300290,7.87
300291,5.77
300292,4.89
300293,20.23
300294,40.2
300295,13.86
300296,7.47
300297,5.79
300298,36.44
300299,8.46
300300,6.09
300301,5.42
300302,12.54
300303,6.37
300304,5.61
300305,9.98
300306,11.2
300307,7.15
300308,51.28
300309,3.36
300310,6.09
300311,7.01
300312,7.53
300313,19.48
300314,19.51
300315,6.4
300316,29.84
300317,6.3
300318,16.87
300319,10.51
300320,6.94
300321,21.82
300322,14.2
300323,14.65
300324,4.93
300325,3.39
300326,15.33
300327,39.4
300328,10.41
300329,7.92
300330,11.17
300331,24.58
300332,5.43
300333,11.09
300334,8.72
300335,6.22
300336,3.93
300337,6.04
300338,7.35
300339,10.7
300340,12.2
300341,9.06
300342,14.61
300343,3.77
300344,5.08
300345,4.8
300346,33.66
300347,130
300348,20.58
300349,14.45
300350,6.12
300351,10.14
300352,6.4
300353,10.54
300354,16.01
300355,3.7
300356,7.04
300357,63.1
300358,13.59
300359,6.74
300360,10.01
300363,34.88
300364,8.35
300365,11.02
300366,10.98
300367,3.68
300368,14.89
300369,16.79
300370,3.03
300371,15.09
300373,46.9
300374,12.78
300375,5.62
300376,8.86
300377,9.46
300378,28.9
300379,38.99
300380,22.11
300381,12.83
300382,8.63
300383,19.16
300384,17.63
300385,9.03
300386,21.81
300387,8.28
300388,9.59
300389,10.47
300390,17.24
300391,9.93
300392,9.97
300393,9.18
300394,57.24
300395,50
300396,26.12
300397,21.99
300398,18.98
300399,19.07
300400,13.24
300401,13.99
300402,19.91
300403,7.61
300404,12.81
300405,9.61
300406,21.34
300407,8.62
300408,34.2
300409,14.62
300410,8.9
300411,11.08
300412,11.83
300413,67.5
300414,13.57
300415,14.75
300416,23.87
300417,16.08
300418,22.83
300419,10.71
300420,6.7
300421,8.15
300422,12.16
300423,14.54
300424,21.3
300425,4.93
300426,7.66
300427,24.45
300428,16.66
300429,18.95
300430,12.33
300432,10.8
300433,32.79
300434,8.68
300435,13.74
300436,37.2
300437,11.28
300438,22.2
300439,21.32
300440,9.15
300441,8.8
300442,37.85
300443,33.38
300444,6.3
300445,16.7
300446,10.05
300447,16.31
300448,10.21
300449,13.2
300450,66.72
300451,14.62
300452,22.38
300453,16.02
300454,212
300455,13.38
300456,28.37
300457,28.34
300458,35.99
300459,4.12
300460,18.98
300461,17.5
300462,23.2
300463,46.9
300464,19.19
300465,13.4
300466,6.96
300467,16.48
300468,22.85
300469,14.67
300470,39.81
300471,12.02
300472,10.97
300473,23.68
300474,61.8
300475,12.09
300476,24.61
300477,6.21
300478,11.2
300479,15.92
300480,17.4
300481,23.31
300482,70.85
300483,35.38
300484,17.17
300485,17.61
300486,16.66
300487,45.94
300488,19
300489,35.7
300490,10.09
300491,19.25
300492,47.3
300493,8.87
300494,16.14
300495,7.24
300496,90.95
300497,14.8
300498,19.43
300499,11.01
300500,15.34
300501,23.21
300502,58.41
300503,18.58
300504,20.61
300505,17.15
300506,5.94
300507,12.83
300508,27.46
300509,7.87
300510,5.61
300511,14.79
300512,13.51
300513,13.25
300514,16.57
300515,12
300516,35.07
300517,18.59
300518,41.86
300519,20.66
300520,25.66
300521,22.8
300522,27.5
300523,36.51
300525,28.38
300526,59.6
300527,11.13
300528,7.11
300529,69.78
300530,34
300531,17.7
300532,10.81
300533,29.45
